index,date,p1,p2,p3,p4,p5,w1,w2,w3,n1,n2,n3,n4,n5,n6,b,nn1,nn2,nn3,nn4,nn5,nn6,
965,2021.05.29,7,46,2389,122129,2043257,3403348929 ,86316821 ,1662024 ,2,13,25,28,29,36,34,2,11,12,3,1,7,
964,2021.05.22,10,52,2447,123780,2061560,2345861063 ,75187855 ,1597781 ,6,21,36,38,39,43,30,6,15,15,2,1,4,
963,2021.05.15,15,68,3137,141987,2219439,1476478125 ,54282285 ,1176665 ,6,12,19,23,34,42,35,6,6,7,4,11,8,
962,2021.05.08,12,73,2581,126528,2119457,1940906094 ,53175510 ,1503996 ,1,18,28,31,34,43,40,1,17,10,3,3,9,
961,2021.05.01,9,73,2716,133764,2197136,2575231209 ,52915710 ,1422256 ,11,20,29,31,33,42,43,11,9,9,2,2,9,
960,2021.04.24,10,56,2569,129546,2180006,2401133213 ,71462298 ,1557762 ,2,18,24,30,32,45,14,2,16,6,6,2,13,
959,2021.04.17,8,75,2502,123802,2072896,3015312891 ,53605563 ,1606882 ,1,14,15,24,40,41,35,1,13,1,9,16,1,
958,2021.04.10,15,67,2470,131097,2168146,1596119675 ,59556705 ,1615506 ,2,9,10,16,35,37,1,2,7,1,6,19,2,
957,2021.04.03,11,61,2835,129545,2131893,2126634137 ,63915234 ,1375249 ,4,15,24,35,36,40,1,4,11,9,11,1,4,
956,2021.03.27,11,136,3053,144650,2325943,2022982671 ,27270600 ,1214806 ,10,11,20,21,25,41,40,10,1,9,1,4,16,
955,2021.03.20,12,71,2650,130744,2196889,2023170188 ,56990710 ,1526921 ,4,9,23,26,29,33,8,4,5,14,3,3,4,
954,2021.03.13,10,64,2657,132057,2214839,2478795900 ,64551977 ,1554884 ,1,9,26,28,30,41,32,1,8,17,2,2,11,
953,2021.03.06,14,102,3273,146120,2331848,1640636009 ,37530890 ,1169616 ,7,9,22,27,37,42,34,7,2,13,5,10,5,
952,2021.02.27,9,93,3039,141776,2304925,2713699834 ,43769353 ,1339438 ,4,12,22,24,33,41,38,4,8,10,2,9,8,
951,2021.02.20,14,72,2907,142335,2346154,1747552661 ,56633652 ,1402692 ,2,12,30,31,39,43,38,2,10,18,1,8,4,
950,2021.02.13,8,67,2886,146270,2422941,3281920500 ,65311851 ,1516249 ,3,4,15,22,28,40,10,3,1,11,7,6,12,
949,2021.02.06,10,65,2594,130363,2192075,2458569713 ,63040250 ,1579652 ,14,21,35,36,40,44,30,14,7,14,1,4,4,
948,2021.01.30,11,90,2905,137929,2252913,2188548716 ,44581548 ,1381184 ,13,18,30,31,38,41,5,13,5,12,1,7,3,
947,2021.01.23,18,58,3182,146908,2351804,1275855750 ,65992539 ,1202881 ,3,8,17,20,27,35,26,3,5,9,3,7,8,
946,2021.01.16,11,71,2949,138433,2224563,2157656182 ,55714127 ,1341371 ,9,18,19,30,34,40,20,9,9,1,11,4,6,
945,2021.01.09,13,71,2490,124224,2120882,1765554491 ,53878424 ,1536293 ,9,10,15,30,33,37,26,9,1,5,15,3,4,
